,zip,city,state,latitude,longitude,countyname,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
2004,53188,Waukesha,WI,43.020762,-88.26852,Waukesha County,242900,243300,243100,243400,245400,247700,249200,250800,252200,252500,252500,253200
2005,73401,Ardmore,OK,34.184742,-97.12655,Carter County,88100,88800,89600,89800,89500,88900,88400,88300,88900,89900,90800,90900
2006,29466,Mount Pleasant,SC,32.876020000000004,-79.79148,Charleston County,436900,440000,441900,442300,442800,443600,443600,443300,442800,443300,444500,445800
2007,89104,Las Vegas,NV,36.151108,-115.10857,Clark County,197400,201500,204400,206400,209300,212400,215600,219300,223100,226800,229500,230400
2008,23060,Glen Allen,VA,37.661646999999995,-77.52632,Henrico County,272400,274100,276000,277100,278100,278900,279800,280800,282500,284800,287300,289200
2009,30701,Calhoun,GA,34.4966,-84.93798000000001,Gordon County,123800,124600,125600,126900,128400,129100,129300,129200,130200,132600,135500,136700
2010,48127,Dearborn Heights,MI,42.335687,-83.28331999999999,Wayne County,136200,137600,138600,139700,141300,143200,145000,146100,147000,148200,149300,150400
2011,77035,Houston,TX,29.654108,-95.47691999999999,Harris County,262300,262100,260800,259700,258500,257000,255500,254500,252800,252400,254100,255900
2012,94044,Pacifica,CA,37.613806,-122.48228999999999,San Mateo County,994300,1010700,1023500,1026200,1024600,1028200,1038700,1049000,1059100,1067400,1066600,1062500
2013,92307,Apple Valley,CA,34.538622,-117.17728999999999,San Bernardino County,253600,256400,258700,261200,263900,266000,267300,267800,268200,268700,269500,270500
2014,17112,Lower Paxton,PA,40.343261,-76.7808,Dauphin County,194600,195900,197100,198200,199100,199700,199900,199400,199700,201700,204100,205300
2015,38118,Memphis,TN,35.048455,-89.92426,Shelby County,77000,77300,77100,77100,77100,76800,76600,76600,76700,76700,76600,76400
2016,75069,McKinney,TX,33.195073,-96.60363000000001,Collin County,273800,277800,281100,283200,285900,287700,287700,286500,285400,285300,286900,288600
2017,60074,Palatine,IL,42.143819,-88.02546,Cook County,287200,289100,290600,291000,291700,291300,289700,288100,287400,287000,287100,288200
2018,48239,Redford,MI,42.379436,-83.29105,Wayne County,92100,94500,96700,98400,100000,101100,102400,103900,105100,106400,107900,108900
2020,89030,North Las Vegas,NV,36.206419,-115.12318,Clark County,140600,145400,148900,150600,153000,155600,158300,161200,164300,167700,170800,171900
2021,95973,Chico,CA,39.793465000000005,-121.87946000000001,Butte County,343500,346300,347500,348200,348800,349400,350200,351600,352800,352700,354600,358800
2022,40272,Louisville,KY,38.096056,-85.85994000000001,Jefferson County,116700,117500,118300,119200,120300,121000,121500,122000,122600,123500,124900,125900
2023,99352,Richland,WA,46.279657,-119.28137,Benton County,301100,304800,309100,312400,315400,319700,327500,336900,344900,349300,352900,356100
2024,83201,Pocatello,ID,42.883214,-112.43968000000001,Bannock County,142800,143600,144800,145600,146700,148100,150000,152000,153700,155500,158200,160600
2025,11367,New York,NY,40.728614,-73.82145,Queens County,802100,803500,804800,808600,816700,826100,831600,831400,830800,830300,828600,826900
2026,29710,Clover,SC,35.109114,-81.19429000000001,York County,184100,186000,187200,188400,189800,191000,191900,193000,195000,198300,201800,204000
2027,53218,Milwaukee,WI,43.11096,-87.99436,Milwaukee County,66900,68000,68800,69200,69400,69700,70200,71200,72500,73800,74900,75600
2028,93726,Fresno,CA,36.795249,-119.76293000000001,Fresno County,189300,190800,191100,191500,193000,195200,197300,199600,201800,203900,205400,206200
